lat,lon,first_year,last_year,first_richness,last_richness,delta,direction
42.25,3.05,2024,2025,6.25,8.19,1.94,up
52.15,5.35,2023,2025,5.26,5.33,0.08,flat
50.45,3.65,2023,2025,9.02,10.66,1.64,up
49.25,-0.15,2023,2025,7.85,7.07,-0.78,down
50.35,26.65,2023,2025,12.79,15.15,2.36,up
47.95,10.95,2023,2025,25.31,15.4,-9.91,down
39.25,16.75,2023,2025,14.72,10.66,-4.06,down
45.85,0.85,2023,2024,4.85,6.28,1.43,up
43.15,0.35,2023,2025,18.74,22.03,3.3,up
60.15,25.05,2023,2025,17.77,12.75,-5.02,down
45.75,16.05,2023,2025,10.19,9.18,-1.02,down
43.55,3.95,2024,2025,3.98,7.32,3.33,up
40.95,-1.65,2024,2025,16.7,22.58,5.87,up
58.05,26.65,2023,2025,11.66,16.7,5.04,up
50.85,4.65,2024,2025,15.81,21.53,5.72,up
52.15,14.05,2023,2024,21.88,22.73,0.85,up
44.95,0.95,2023,2025,9.67,9.87,0.21,flat
52.15,4.35,2023,2025,11.61,15.96,4.35,up
43.55,-1.45,2023,2025,10.32,15.02,4.7,up
58.35,26.65,2023,2025,11.87,11.21,-0.66,down
45.75,15.95,2023,2025,13.44,11.91,-1.53,down
52.25,20.55,2023,2024,7.6,4.0,-3.6,down
45.75,16.15,2023,2024,9.93,5.51,-4.42,down
47.75,16.75,2023,2025,2.0,17.45,15.45,up
37.15,-7.65,2023,2025,9.2,13.28,4.08,up
51.45,23.15,2023,2024,10.74,13.15,2.42,up
46.65,0.15,2023,2025,15.77,14.75,-1.02,down
50.65,-1.15,2023,2025,19.2,20.92,1.72,up
47.85,2.05,2023,2025,11.7,14.51,2.82,up
47.35,9.65,2023,2024,9.64,6.76,-2.88,down
52.25,13.85,2023,2024,18.79,27.88,9.09,up
51.45,0.25,2023,2025,8.96,8.74,-0.23,flat
54.25,-0.25,2023,2024,8.44,8.12,-0.32,flat
54.15,-0.15,2023,2025,9.65,10.9,1.25,up
54.15,-0.55,2023,2025,20.96,20.68,-0.28,flat
48.85,2.65,2024,2025,8.69,8.41,-0.29,flat
52.25,-6.35,2023,2025,8.88,10.35,1.46,up
49.85,19.25,2023,2025,10.76,10.83,0.07,flat
51.75,5.25,2023,2025,8.87,8.68,-0.19,flat
52.25,-6.45,2023,2025,9.92,10.31,0.39,flat
53.55,8.65,2023,2025,9.61,9.52,-0.1,flat
58.75,17.05,2023,2025,6.15,12.34,6.18,up
53.85,8.55,2023,2024,9.66,9.74,0.08,flat
51.35,-0.15,2023,2025,11.19,9.35,-1.84,down
52.15,-6.45,2023,2025,12.54,13.54,1.0,up
41.45,2.35,2023,2024,10.85,10.51,-0.34,flat
45.35,10.25,2023,2024,6.87,6.2,-0.66,down
53.65,-1.75,2023,2025,10.98,10.47,-0.52,down
48.65,9.25,2023,2025,13.37,7.63,-5.74,down
52.05,4.85,2024,2025,7.53,7.0,-0.53,down
51.55,6.15,2023,2024,10.71,9.79,-0.92,down
51.75,5.65,2023,2025,9.0,4.99,-4.01,down
52.35,16.95,2023,2024,12.49,17.65,5.16,up
48.95,4.35,2023,2024,10.08,11.27,1.2,up
48.85,3.05,2023,2025,9.05,9.02,-0.03,flat
69.55,18.65,2023,2025,6.97,14.39,7.43,up
50.75,4.55,2024,2025,8.5,12.65,4.15,up
51.25,3.25,2024,2025,8.72,8.51,-0.21,flat
37.35,-6.25,2023,2024,9.12,9.22,0.1,flat
59.95,17.95,2023,2025,11.37,8.87,-2.49,down
63.75,20.35,2023,2025,7.95,8.2,0.24,flat
50.25,18.95,2023,2024,9.47,9.09,-0.38,flat
50.85,3.35,2023,2025,9.18,9.36,0.18,flat
49.55,23.95,2023,2024,15.82,15.91,0.09,flat
52.45,13.45,2023,2025,14.0,4.76,-9.24,down
50.55,5.65,2023,2024,9.0,8.41,-0.59,down
45.95,-0.95,2023,2025,10.14,9.26,-0.88,down
53.25,5.55,2023,2025,9.79,12.31,2.52,up
50.95,1.85,2024,2025,9.45,9.5,0.06,flat
51.65,16.05,2023,2024,11.84,14.32,2.48,up
53.55,-6.35,2023,2025,12.22,8.92,-3.31,down
48.95,2.35,2023,2025,7.67,6.45,-1.21,down
48.85,2.35,2023,2025,9.64,8.37,-1.27,down
44.15,5.35,2024,2025,4.33,8.35,4.02,up
51.85,16.65,2023,2024,11.52,12.0,0.48,flat
59.35,-2.45,2023,2024,10.41,13.72,3.31,up
53.25,-6.15,2024,2025,8.61,12.62,4.01,up
51.25,-2.95,2023,2025,19.73,13.56,-6.17,down
47.65,9.55,2024,2025,13.0,13.56,0.56,up
54.05,-1.05,2024,2025,8.22,7.87,-0.35,flat
50.15,8.65,2023,2025,12.49,10.96,-1.53,down
46.95,9.95,2024,2025,10.85,8.22,-2.64,down
48.05,-4.65,2024,2025,9.03,6.48,-2.55,down
52.45,10.05,2024,2025,9.22,7.5,-1.72,down
59.85,17.65,2023,2025,11.77,14.55,2.78,up
48.85,2.75,2023,2025,8.68,11.3,2.62,up
63.95,20.65,2024,2025,4.98,5.0,0.02,flat
63.85,20.15,2023,2025,6.09,10.17,4.08,up
52.35,-1.75,2023,2025,11.21,8.56,-2.65,down
63.95,20.85,2023,2024,17.4,9.57,-7.83,down
63.45,19.65,2023,2025,11.29,11.09,-0.2,flat
64.25,20.05,2023,2025,9.59,5.0,-4.59,down
63.95,20.35,2024,2025,5.04,9.24,4.2,up
