lat,lon,continent,n_rec,richness,label,label_code
45.05,7.65,europe,10,9.0,moderate,1
41.15,16.85,europe,11,4.818,bad,0
58.35,15.65,europe,19,7.67,bad,0
60.35,-0.95,europe,26,8.212,bad,0
28.35,-16.55,europe,27,9.218,moderate,1
47.65,12.05,europe,59,6.544,bad,0
44.15,1.85,europe,207,25.695,good,2
45.45,11.55,europe,11,14.636,good,2
41.55,1.55,europe,18,10.108,moderate,1
52.35,-1.45,europe,29,14.529,good,2
51.55,17.15,europe,29,15.795,good,2
61.95,12.85,europe,15,3.978,bad,0
53.45,15.25,europe,15,11.667,moderate,1
41.85,-7.75,europe,40,17.645,good,2
68.35,18.65,europe,23,8.934,moderate,1
42.95,6.25,europe,23,6.95,bad,0
51.05,17.35,europe,34,15.031,good,2
42.85,0.45,europe,27,6.27,bad,0
42.45,8.95,europe,36,6.952,bad,0
46.35,4.75,europe,13,9.108,moderate,1
45.75,27.25,europe,15,1.0,bad,0
49.25,-0.35,europe,22,27.184,good,2
43.05,-0.45,europe,23,8.144,bad,0
53.05,-1.35,europe,10,5.0,bad,0
47.85,18.75,europe,32,9.036,moderate,1
58.55,23.05,europe,11,11.091,moderate,1
45.05,7.75,europe,10,2.0,bad,0
39.65,-0.25,europe,371,10.197,moderate,1
47.75,-3.75,europe,10,1.0,bad,0
48.85,-3.45,europe,22,7.439,bad,0
51.45,17.15,europe,43,11.521,moderate,1
44.35,9.35,europe,66,11.315,moderate,1
42.75,2.95,europe,23,10.531,moderate,1
41.75,8.85,europe,29,8.226,bad,0
46.15,-0.35,europe,27,3.619,bad,0
36.65,-2.75,europe,314,2.485,bad,0
39.85,-5.65,europe,18,6.832,bad,0
49.45,1.15,europe,15,6.615,bad,0
54.65,-5.55,europe,14,7.857,bad,0
50.65,-2.45,europe,12,9.621,moderate,1
51.85,0.75,europe,24,8.04,bad,0
44.75,8.85,europe,13,10.769,moderate,1
57.65,12.15,europe,11,10.0,moderate,1
50.05,18.85,europe,55,14.086,good,2
49.15,9.15,europe,10,10.0,moderate,1
38.05,23.85,europe,27,2.724,bad,0
44.95,5.45,europe,23,14.269,good,2
66.15,29.15,europe,22,11.355,moderate,1
52.75,0.25,europe,12,18.227,good,2
55.95,-3.85,europe,16,4.464,bad,0
55.85,-6.35,europe,166,19.14,good,2
42.15,14.15,europe,27,8.128,bad,0
34.85,32.35,europe,16,13.179,good,2
39.75,21.25,europe,152,3.269,bad,0
43.65,1.45,europe,29,6.164,bad,0
37.25,-3.75,europe,12,8.652,moderate,1
41.25,-4.75,europe,16,4.5,bad,0
50.65,4.35,europe,17,7.394,bad,0
41.95,12.05,europe,10,8.0,bad,0
40.35,-3.45,europe,11,11.182,moderate,1
59.65,18.25,europe,11,9.273,moderate,1
58.75,23.85,europe,28,16.967,good,2
54.65,18.65,europe,11,8.364,bad,0
51.15,-3.05,europe,10,20.0,good,2
52.05,-2.35,europe,26,18.568,good,2
65.95,16.05,europe,14,12.044,moderate,1
47.15,13.15,europe,10,1.0,bad,0
48.15,0.05,europe,14,2.713,bad,0
46.35,-1.35,europe,53,11.486,moderate,1
41.95,3.25,europe,46,6.0,bad,0
42.45,1.25,europe,10,8.0,bad,0
42.95,0.65,europe,16,12.177,moderate,1
58.35,12.35,europe,10,3.0,bad,0
49.25,1.05,europe,10,10.0,moderate,1
52.35,20.25,europe,15,9.165,bad,0
42.95,2.55,europe,13,9.615,moderate,1
47.35,11.45,europe,92,7.956,bad,0
36.25,-5.95,europe,15,4.216,bad,0
57.45,-4.05,europe,10,9.0,bad,0
47.55,18.95,europe,15,6.454,bad,0
52.45,-1.95,europe,19,11.827,moderate,1
64.65,17.65,europe,10,9.0,moderate,1
53.35,-1.65,europe,20,11.405,moderate,1
52.15,6.45,europe,20,13.474,good,2
54.05,-2.45,europe,13,6.0,bad,0
28.35,-14.05,europe,14,7.857,bad,0
32.65,-16.95,europe,11,8.545,bad,0
69.65,18.05,europe,18,12.523,moderate,1
52.25,20.95,europe,25,8.848,bad,0
45.45,8.05,europe,19,8.266,bad,0
56.15,-3.95,europe,87,8.338,bad,0
48.45,1.55,europe,13,14.304,good,2
51.45,-2.85,europe,40,7.054,bad,0
53.15,7.05,europe,12,6.47,bad,0
48.85,1.95,europe,574,8.77,moderate,1
51.15,17.15,europe,21,9.495,moderate,1
52.35,5.85,europe,111,17.969,good,2
36.95,-2.85,europe,41,4.075,bad,0
64.75,-23.65,europe,26,5.077,bad,0
49.85,10.05,europe,17,13.61,good,2
44.55,14.95,europe,15,10.835,moderate,1
54.65,8.35,europe,12,23.394,good,2
60.05,24.25,europe,11,18.727,good,2
45.95,0.05,europe,10,2.0,bad,0
28.05,-17.25,europe,11,6.545,bad,0
55.65,10.55,europe,20,12.414,moderate,1
63.65,20.35,europe,38,12.79,good,2
60.35,17.55,europe,22,7.217,bad,0
51.75,5.95,europe,375,8.716,bad,0
60.45,17.65,europe,11,23.818,good,2
42.25,-1.45,europe,14,7.582,bad,0
51.15,2.75,europe,19,7.892,bad,0
50.55,-1.15,europe,11,15.091,good,2
38.75,-9.25,europe,136,10.635,moderate,1
37.95,35.25,europe,13,8.881,moderate,1
42.65,2.35,europe,12,10.152,moderate,1
50.85,5.15,europe,11,8.455,bad,0
51.55,0.75,europe,19,6.463,bad,0
49.15,8.35,europe,29,14.959,good,2
57.45,-4.25,europe,18,12.827,moderate,1
42.55,9.45,europe,72,8.432,bad,0
42.15,8.55,europe,12,5.318,bad,0
51.55,0.05,europe,26,11.736,moderate,1
38.55,-28.75,europe,11,5.0,bad,0
48.25,11.65,europe,16,14.589,good,2
52.55,13.55,europe,10,13.0,good,2
55.15,46.35,europe,12,3.0,bad,0
53.35,6.15,europe,14,24.712,good,2
46.25,-1.25,europe,19,8.992,moderate,1
53.25,14.95,europe,15,25.619,good,2
50.05,8.35,europe,23,6.108,bad,0
45.25,18.25,europe,24,16.03,good,2
45.15,18.45,europe,84,14.533,good,2
45.15,18.15,europe,14,19.648,good,2
45.65,9.75,europe,12,5.167,bad,0
46.85,-2.15,europe,54,19.061,good,2
37.35,-6.55,europe,141,8.391,bad,0
48.75,2.05,europe,32,8.597,moderate,1
51.95,0.85,europe,14,12.374,moderate,1
42.05,2.05,europe,95,9.501,moderate,1
45.85,10.95,europe,60,5.096,bad,0
51.65,-0.25,europe,31,17.123,good,2
57.75,18.45,europe,29,9.228,moderate,1
40.55,-7.35,europe,19,8.336,bad,0
39.65,2.75,europe,44,11.493,moderate,1
45.65,11.25,europe,22,12.13,moderate,1
42.75,-8.95,europe,15,15.689,good,2
52.05,5.05,europe,193,8.895,bad,0
52.45,4.65,europe,10,12.0,moderate,1
39.15,8.25,europe,31,6.213,bad,0
43.65,-8.15,europe,12,7.955,bad,0
49.35,-1.25,europe,29,17.766,good,2
44.55,6.05,europe,34,9.144,moderate,1
46.55,24.55,europe,44,13.347,good,2
45.25,5.75,europe,35,16.772,good,2
57.35,-3.65,europe,26,9.656,moderate,1
55.65,10.65,europe,13,15.878,good,2
49.15,17.35,europe,34,4.331,bad,0
50.25,8.45,europe,63,10.905,moderate,1
50.35,11.15,europe,43,8.232,bad,0
45.75,10.15,europe,11,17.0,good,2
53.55,9.95,europe,70,14.556,good,2
46.45,0.85,europe,25,7.564,bad,0
