lat_cell,lon_cell,continent,n_rec,S_obs,S_rare10,Acoustic_Complexity_Index__mean,Acoustic_Diversity_Index__main_value,Acoustic_Evenness_Index__main_value,Bio_acoustic_Index__main_value,Normalized_Difference_Sound_Index__main_value,Spectral_Entropy__main_value,Temporal_Entropy__main_value,NB_peaks__main_value,Acoustic_Diversity_Index_NR__main_value,Bio_acoustic_Index_NR__main_value,Spectral_Entropy_NR__main_value
13.1,17.2,africa,17,17,12.044,161.95657524775515,1.936311225624244,0.23520293288514751,10.028421457950007,0.7703721076738208,0.8999153869503073,0.943817985527,3.4705882352941178,1.9169898409129242,12.805156950840972,0.8425222984491851
-2.7,36.7,africa,8,5,,162.9079455283671,1.630912036684692,0.44354825185642677,14.460450600966968,0.6317910435763076,0.7051110243221947,0.9290272380965382,3.875,1.6966998155937931,15.026604728831956,0.6822980534358823
-3.2,37.2,africa,37,21,8.868,175.6514458203115,1.8963498428052035,0.26889530927530725,9.78433851394952,0.7893681251225688,0.7972812968895948,0.9332538790013122,4.891891891891892,1.890739079192114,11.02580451384685,0.7567716083185587
-3.3,35.6,africa,11,10,9.182,167.6412141293192,1.8378116798907216,0.2844972756571961,11.544898643548217,0.5945383321767519,0.7957310001123833,0.9512523409891707,3.6363636363636362,1.824181408399931,12.495075183800191,0.7701420590089749
-0.6,34.5,africa,32,21,8.802,161.51357045111124,1.8504953388724061,0.3103004965102942,8.073929377384056,0.41608807134800935,0.8436832162405359,0.9470455785266639,4.125,1.867965488338159,9.603116253910713,0.7854603123231403
-28.3,32.4,africa,1,1,,173.18820161505062,1.9326724055906015,0.2796290163497741,12.389293462024481,0.674173607586728,0.7384793230868245,0.9614270583590978,3.0,1.867666092209613,13.13770076484809,0.7064745950239837
36.2,8.7,africa,1,1,,192.1807557258192,1.9196634761122775,0.2791417591801877,12.897881008497357,0.9930383591477281,0.8167316080639444,0.9252007936012472,3.0,1.8867849030041715,16.37471765863558,0.781304083691868
-12.5,31.2,africa,19,13,8.421,174.2048578848389,1.6665302497477066,0.38974872462285043,9.620436332631266,0.4166145205205293,0.7677696453190243,0.9435805727865855,3.789473684210526,1.700942828776848,11.41011496943314,0.7208887730627855
-15.3,28.4,africa,15,15,10.0,162.38199541310797,1.9255155649179347,0.23473972290160952,8.741740427436586,0.8514465033122431,0.8463404911902317,0.944307831968111,4.2,1.931203797333852,9.939584234716765,0.7858450938085983
9.2,-1.9,africa,60,37,9.648,154.9867124357235,1.9128979981783318,0.23149792919871703,7.058786084200252,0.18212874168714024,0.8569785973806413,0.9679090230290017,3.7,1.894285891863939,8.915783003916113,0.8000062171152981
-9.7,14.0,africa,8,9,,163.15051819099267,1.8155962457959958,0.3678619165044431,9.129988274592069,0.3054499639542097,0.8023844162094746,0.9505416701155291,2.625,1.8800177869092098,10.500329719902503,0.7514253509699442
12.9,-16.8,africa,48,34,10.999,166.98985148815768,1.9250274101864562,0.2517676323163621,7.830642700205971,0.36800318105203517,0.7900275436369157,0.95507151792807,4.25,1.9257149812915264,8.97439790596009,0.7552026645898565
-0.7,34.4,africa,29,21,9.035,162.52656550980143,1.8613216155830774,0.31638764562070126,8.938533102868941,0.6133607776239904,0.8256451778672113,0.9491442983469942,4.0344827586206895,1.8980129236512076,10.170296178665545,0.7652084358521251
